Melanin_Level,Stroma_Density,Eye_Color
85.0,84.7,Brown
78.4,77.3,Brown
89.2,85.9,Brown
83.2,79.5,Brown
75.9,77.5,Brown
90.3,84.0,Brown
88.0,80.3,Brown
85.0,75.4,Brown
89.2,82.9,Brown
88.0,76.3,Brown
72.1,87.7,Brown
82.1,74.0,Brown
89.2,77.3,Brown
91.4,84.3,Brown
89.1,70.4,Brown
92.3,81.8,Brown
82.8,81.0,Brown
74.3,82.9,Brown
78.8,70.5,Brown
75.9,87.8,Brown
81.2,90.7,Brown
81.8,68.0,Brown
78.3,88.7,Brown
84.1,76.2,Brown
86.0,83.5,Brown
91.7,90.1,Brown
82.8,70.7,Brown
82.5,81.8,Brown
79.2,73.3,Brown
87.1,79.7,Brown
85.2,74.7,Brown
83.6,73.5,Brown
90.3,87.2,Brown
73.9,73.5,Brown
76.0,75.4,Brown
84.5,69.9,Brown
79.5,73.0,Brown
86.2,80.5,Brown
